year,university,school,degree,category,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile
2013,NTU,College of business (nanyang business school),Accountancy,Business,0.971,0.9570000000000001,2850.0,2700.0,2938.0,2700.0,2700.0,2900.0
2013,NTU,College of business (nanyang business school),Accountancy & Business,Business,0.9740000000000001,0.961,3701.0,3200.0,3727.0,3350.0,2900.0,4000.0
2013,NTU,College of engineering,Aerospace Engineering,Engineering,0.953,0.953,3494.0,3500.0,3536.0,3500.0,3100.0,3816.0
2013,NTU,"College of humanities, arts & social sciences","Art, Design & Media",Architecture & Design,0.816,0.614,2639.0,2500.0,2638.0,2500.0,2300.0,2900.0
2013,NTU,National institute of education (nie),Arts (with Education),Education,1.0,1.0,3413.0,3426.0,3506.0,3498.0,3400.0,3575.0
2013,NTU,College of sciences,Biological Sciences,Science,0.7859999999999999,0.6809999999999999,2881.0,2900.0,3002.0,3000.0,2700.0,3250.0
2013,NTU,College of engineering,Biomedical Engineering,Engineering,0.813,0.688,2952.0,2900.0,3166.0,3125.0,2893.0,3365.0
2013,NTU,College of business (nanyang business school),Business,Business,0.909,0.857,3053.0,3000.0,3214.0,3000.0,2700.0,3500.0
2013,NTU,College of business (nanyang business school),Business & Computing,Technology,0.875,0.875,3557.0,3400.0,3615.0,3400.0,3000.0,4100.0
2013,NTU,College of engineering,Chemical & Biomolecular Engineering,Engineering,0.873,0.851,3235.0,3000.0,3377.0,3200.0,3000.0,3800.0
2013,NTU,College of sciences,Chemistry & Biological Chemistry,Science,0.7979999999999999,0.6890000000000001,2993.0,3000.0,3083.0,3100.0,2800.0,3400.0
2013,NTU,"College of humanities, arts & social sciences",Chinese,Arts & Social Sciences,0.851,0.805,2818.0,2800.0,2924.0,3000.0,2600.0,3300.0
2013,NTU,College of engineering,Civil Engineering,Engineering,0.948,0.938,3091.0,3000.0,3182.0,3100.0,3000.0,3380.0
2013,NTU,"College of humanities, arts & social sciences",Communication Studies,Arts & Social Sciences,0.894,0.7959999999999999,2893.0,2930.0,2956.0,3000.0,2700.0,3250.0
2013,NTU,College of engineering,Computer Engineering,Engineering,0.903,0.882,3326.0,3100.0,3374.0,3175.0,3000.0,3600.0
2013,NTU,College of engineering,Computer Science,Technology,0.9209999999999999,0.885,3249.0,3000.0,3306.0,3125.0,3000.0,3600.0
2013,NTU,"College of humanities, arts & social sciences",Economics,Arts & Social Sciences,0.899,0.835,3085.0,3000.0,3148.0,3000.0,2800.0,3545.0
2013,NTU,College of engineering,Electrical & Electronic Engineering,Engineering,0.91,0.887,3133.0,3000.0,3187.0,3100.0,3000.0,3440.0
2013,NTU,"College of humanities, arts & social sciences",English,Arts & Social Sciences,0.8270000000000001,0.6729999999999999,3087.0,3000.0,3179.0,3100.0,2800.0,3400.0
2013,NTU,College of engineering,Environmental Engineering,Engineering,0.84,0.815,3091.0,3000.0,3140.0,3000.0,3000.0,3300.0
2013,NTU,College of engineering,Information Engineering & Media,Engineering,0.857,0.7959999999999999,3160.0,3150.0,3203.0,3200.0,2950.0,3400.0
2013,NTU,"College of humanities, arts & social sciences",Linguistics & Multilingual Studies,Arts & Social Sciences,0.9059999999999999,0.813,2691.0,2600.0,2725.0,2625.0,2475.0,3018.0
2013,NTU,College of engineering,Maritime Studies,Science,0.956,0.9329999999999999,3050.0,3000.0,3111.0,3000.0,2850.0,3200.0
2013,NTU,College of engineering,Materials Engineering,Engineering,0.825,0.789,2989.0,3000.0,3096.0,3000.0,2800.0,3300.0
2013,NTU,College of sciences,Mathematical Sciences,Science,0.86,0.8370000000000001,3169.0,3000.0,3262.0,3000.0,2750.0,3500.0
2013,NTU,College of engineering,Mechanical Engineering,Engineering,0.9159999999999999,0.895,3125.0,3000.0,3226.0,3100.0,3000.0,3500.0
2013,NTU,College of sciences,Medicine,Healthcare,0.907,0.884,2840.0,2800.0,2883.0,2807.0,2700.0,3000.0
2013,NTU,College of sciences,Physics & Applied Physics,Science,0.8079999999999999,0.6920000000000001,3164.0,3000.0,3208.0,3300.0,2900.0,3400.0
2013,NTU,"College of humanities, arts & social sciences",Psychology,Arts & Social Sciences,0.8240000000000001,0.718,3007.0,3000.0,3061.0,3000.0,2750.0,3255.0
2013,NTU,National institute of education (nie),Science (with Education),Education,1.0,1.0,3377.0,3400.0,3478.0,3498.0,3300.0,3800.0
